Departure Delay in Minutes,Arrival Delay in Minutes,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,satisfaction
0.0,20.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,Female,Loyal Customer,47,Business travel,Business,4502,satisfied
1.0,25.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,3.0,3.0,4.0,5.0,1.0,4.0,1.0,Male,disloyal Customer,42,Business travel,Business,4963,neutral or dissatisfied
9.0,0.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,5.0,5.0,3.0,1.0,5.0,1.0,Female,disloyal Customer,33,Business travel,Eco,4817,neutral or dissatisfied
16.0,0.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,Female,Loyal Customer,52,Business travel,Business,4983,satisfied
0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,Female,Loyal Customer,50,Business travel,Business,4983,satisfied
2.0,5.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,4.0,1.0,3.0,3.0,5.0,2.0,5.0,Female,Loyal Customer,54,Personal Travel,Business,4963,neutral or dissatisfied
32.0,30.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,Male,Loyal Customer,14,Personal Travel,Eco,4502,neutral or dissatisfied
0.0,0.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,3.0,1.0,Male,Loyal Customer,67,Personal Travel,Eco Plus,4983,satisfied
0.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,3.0,Male,Loyal Customer,27,Personal Travel,Eco,4963,neutral or dissatisfied
0.0,0.0,2.4,4.4,3.0,3.0,2.6,5.0,2.0,5.0,2.0,4.0,5.0,2.0,3.0,2.0,Female,disloyal Customer,27,Business travel,Business,4963,satisfied
0.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,5.0,1.0,4.0,3.0,4.0,Female,Loyal Customer,37,Business travel,Business,4983,satisfied
2.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,Male,Loyal Customer,38,Business travel,Eco Plus,4983,satisfied
0.0,0.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,Female,Loyal Customer,47,Personal Travel,Eco,4983,neutral or dissatisfied
0.0,0.0,4.0,4.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,5.0,1.0,3.0,1.0,Male,Loyal Customer,26,Personal Travel,Eco,4963,satisfied
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,3.0,1.0,Male,Loyal Customer,30,Business travel,Eco,4963,neutral or dissatisfied
45.0,16.0,3.0,5.0,3.0,5.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,Female,Loyal Customer,52,Personal Travel,Eco,4817,neutral or dissatisfied
20.0,0.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,Male,Loyal Customer,49,Business travel,Business,4817,satisfied
0.0,0.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,1.0,4.0,Female,Loyal Customer,62,Personal Travel,Eco Plus,4983,neutral or dissatisfied
6.0,2.0,4.0,2.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,Male,Loyal Customer,10,Personal Travel,Business,4502,neutral or dissatisfied
0.0,0.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,3.0,5.0,Female,Loyal Customer,56,Business travel,Business,4502,satisfied
3.0,0.0,2.8,5.0,2.4,1.0,2.8,1.0,1.0,3.0,4.0,5.0,5.0,1.0,3.0,1.0,Female,Loyal Customer,13,Personal Travel,Eco,4963,satisfied
4.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0,5.0,2.0,Male,Loyal Customer,42,Business travel,Business,4502,satisfied
28.0,0.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,1.0,5.0,4.0,4.0,4.0,4.0,Male,Loyal Customer,60,Personal Travel,Eco,4502,neutral or dissatisfied
60.0,39.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,Male,Loyal Customer,43,Business travel,Business,4963,satisfied
